City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
123,Albany,20,AU,10/29/2020,72,78.22,15.64,17.6,1.12
124,Hermanus,100,ZA,10/29/2020,92,50.68,156.12,40.37,39.26
125,Albany,92,AU,10/29/2020,97,60.47,166.1,30.25,2.1
126,Cape Town,0,ZA,10/29/2020,80,18.39,42.45,55.4,0.54
127,Albany,81,AU,10/29/2020,70,62.58,6.13,48.2,11.41
128,Potchefstroom,0,ZA,10/29/2020,63,71,24.66,30.2,28.86
129,Bluff,53,NZ,10/29/2020,93,70.86,29.09,31.44,10.18
130,Hobart,20,AU,10/29/2020,48,35.73,140.83,66,14.99
131,Taolanaro,0,MG,10/29/2020,24,13.98,10.27,80.01,5.99
132,Busselton,0,AU,10/29/2020,30,19.75,10.25,65.88,11.7
133,New Norfolk,0,AU,10/29/2020,58,22.57,59.53,76.98,10.63
134,Amberley,0,NZ,10/29/2020,27,31.9,54.37,50,4.7
135,Mahebourg,100,MU,10/29/2020,85,56.26,51.28,36.86,6.06
136,Kruisfontein,0,ZA,10/29/2020,39,-8.93,125.41,80.38,4
137,Kirkwood,69,ZA,10/29/2020,94,69.38,178.42,18.59,16.11
138,Port Alfred,90,ZA,10/29/2020,86,57.94,55.33,37.4,8.95
139,Marovoay,13,MG,10/29/2020,62,36,45.89,42.8,2.01
140,Bredasdorp,92,ZA,10/29/2020,70,-2.02,147.27,84.27,1.3
141,Albany,80,AU,10/29/2020,88,63.05,179.32,23.31,13.6
142,Eenhana,100,NA,10/29/2020,89,60.42,134.53,6.24,2.73
143,Cap Malheureux,100,MU,10/29/2020,90,50.6,97.52,24.78,8.9
144,Matara,0,LK,10/29/2020,94,9.25,0.78,69.8,1.97
145,Hobart,0,AU,10/29/2020,16,29.97,40.21,59,4.7
146,Bredasdorp,100,ZA,10/29/2020,85,51.5,156.52,40.93,27.31
147,Mount Isa,100,AU,10/29/2020,95,71.69,128.87,7.32,3.96
148,Bluff,98,NZ,10/29/2020,63,5.56,95.32,85.44,7.7
149,Te Anau,20,NZ,10/29/2020,48,35.73,140.83,66,14.99
150,Oranjemund,3,NA,10/29/2020,83,71.92,114.08,-2.2,6.17
151,Yulara,97,AU,10/29/2020,96,73.51,80.55,14.59,27.04
152,Bluff,100,NZ,10/29/2020,73,45.76,106.27,30.87,19.08
153,Albany,97,AU,10/29/2020,88,66.77,123.37,-9.33,0.74
154,Bengkulu,100,ID,10/29/2020,59,-2.67,141.3,85.57,4.72
155,Yulara,100,AU,10/29/2020,74,0.53,72.93,83.19,10.29
156,Port Elizabeth,99,ZA,10/29/2020,84,46.49,135.88,38.8,3.58
157,Inhambane,40,MZ,10/29/2020,79,10.57,72.64,84.2,4.7
158,Busselton,75,AU,10/29/2020,94,16.07,108.22,78.8,5.82
159,Richards Bay,0,ZA,10/29/2020,40,32.66,51.68,37.4,4.7
160,East London,0,ZA,10/29/2020,64,9.61,6.56,75.2,4.7
161,Albany,37,AU,10/29/2020,69,1.17,108.97,85.1,7.18
162,Bluff,5,NZ,10/29/2020,97,64,44.45,30.67,5.86
163,Bredasdorp,28,ZA,10/29/2020,64,39.64,34.47,56.21,3.65
164,Busselton,100,AU,10/29/2020,90,51.39,109.87,27.01,9.55
165,Albany,0,AU,10/29/2020,48,20.9,70.37,80.96,7.58
166,Busselton,100,AU,10/29/2020,97,53.46,85.45,33.55,10.63
167,Kaitangata,92,NZ,10/29/2020,70,-2.02,147.27,84.27,1.3
168,Cape Town,69,ZA,10/29/2020,94,69.38,178.42,18.59,16.11
169,Broome,0,AU,10/29/2020,77,47.47,84.87,36.05,1.19
170,Hermanus,98,ZA,10/29/2020,80,50.61,105.32,32.97,4.68
171,Namibe,95,AO,10/29/2020,81,61.99,5.14,46.99,12.75
172,Albany,100,AU,10/29/2020,98,66.56,67.8,34.39,13.58
173,New Norfolk,0,AU,10/29/2020,98,-34.65,-58.62,59,4.99
174,Grand River South East,55,MU,10/29/2020,91,65.82,87.98,4.51,10.83
175,East London,100,ZA,10/29/2020,93,46.84,32.76,46.4,6.71
176,Bredasdorp,100,ZA,10/29/2020,92,50.68,156.12,40.37,39.26
177,Broome,97,AU,10/29/2020,96,73.51,80.55,14.59,27.04
178,Busselton,100,AU,10/29/2020,68,49.76,129.52,39.72,15.79
179,Esperance,2,AU,10/29/2020,63,49.22,143.12,43.47,3.18
180,Bengkulu,3,ID,10/29/2020,83,71.92,114.08,-2.2,6.17
181,Hermanus,100,ZA,10/29/2020,86,12.22,125.48,81.81,15.19
182,Grand River South East,27,MU,10/29/2020,87,70.37,31.11,34.03,6.8
183,Taolanaro,63,MG,10/29/2020,76,3.07,172.79,82.58,19.42
184,Victoria,92,SC,10/29/2020,70,-2.02,147.27,84.27,1.3
185,Hobart,3,AU,10/29/2020,83,71.92,114.08,-2.2,6.17
186,Jamestown,63,SH,10/29/2020,76,3.07,172.79,82.58,19.42
187,Merauke,0,ID,10/29/2020,33,40.43,71.72,42.8,6.93
188,Dunedin,40,NZ,10/29/2020,62,35.53,134.83,59,2.24
189,East London,63,ZA,10/29/2020,76,3.07,172.79,82.58,19.42
190,Kruisfontein,0,ZA,10/29/2020,70,21.43,39.83,73.33,0.47
191,Mahebourg,59,MU,10/29/2020,100,43.27,-7.54,55.99,7.16
192,Kaitangata,0,NZ,10/29/2020,36,42.27,118.96,52.92,20.78
193,Laela,100,TZ,10/29/2020,93,67.8,130.41,4.26,1.19
194,Kindu,40,CD,10/29/2020,79,10.57,72.64,84.2,4.7
195,Albany,0,AU,10/29/2020,24,22.93,57.53,68.11,3.24
196,Mahebourg,1,MU,10/29/2020,87,62.27,21.38,42.17,5.14
197,Vao,0,NC,10/29/2020,98,-34.65,-58.62,59,4.99
198,Gatton,0,AU,10/29/2020,40,14.4,46.47,61.75,2.37
199,Port Alfred,91,ZA,10/29/2020,95,5.4,26.49,68.47,2.73
200,Manggar,32,ID,10/29/2020,51,41.76,86.15,45.73,5.86
201,Albany,27,AU,10/29/2020,87,70.37,31.11,34.03,6.8
202,Mount Gambier,100,AU,10/29/2020,97,69.7,170.31,19.99,7.4
203,Lolua,0,TV,10/29/2020,35,38.41,112.73,53.67,9.22
204,Phalaborwa,3,ZA,10/29/2020,83,71.92,114.08,-2.2,6.17
205,Albany,100,AU,10/29/2020,70,62.65,8.72,44.6,6.93
206,Bluff,80,NZ,10/29/2020,100,31.61,34.76,72,1.99
207,Sydney,64,AU,10/29/2020,93,59.36,5.22,41,2.24
208,Namibe,0,AO,10/29/2020,38,17.02,54.09,73.4,3.36
209,Bengkulu,100,ID,10/29/2020,90,68.75,161.3,7.74,5.12
210,Taolanaro,90,MG,10/29/2020,100,51.73,39.15,44.6,2.24
211,Saint-Joseph,20,RE,10/29/2020,72,78.22,15.64,17.6,1.12
212,Albany,59,AU,10/29/2020,61,43.93,141.64,50.07,7.47
213,Hobart,100,AU,10/29/2020,68,48.6,133.82,42.42,9.48
214,Luderitz,21,NA,10/29/2020,87,10.7,37.07,53.42,5.23
215,Moree,100,AU,10/29/2020,95,69.3,139.9,2.28,2.28
216,Hithadhoo,3,MV,10/29/2020,83,71.92,114.08,-2.2,6.17
217,Hermanus,68,ZA,10/29/2020,66,31.21,16.59,69.87,10.69
218,Kavieng,38,PG,10/29/2020,70,53.57,142.95,39.67,7.72
219,Bredasdorp,67,ZA,10/29/2020,73,20.45,121.97,77.22,29.89
220,Busselton,12,AU,10/29/2020,53,36.38,33.93,65.34,2.35
221,Port Alfred,19,ZA,10/29/2020,71,5.67,73,82.31,5.44
222,Port Alfred,20,ZA,10/29/2020,48,35.73,140.83,66,14.99
223,Koulamoutou,6,GA,10/29/2020,76,20.86,92.31,82.36,4.74
224,Fianarantsoa,0,MG,10/29/2020,44,37.35,59.61,47.77,6.38
225,Hobart,100,AU,10/29/2020,96,59.58,151.28,32.49,12.37
226,Bambous Virieux,20,MU,10/29/2020,48,35.73,140.83,66,14.99
227,Ulladulla,0,AU,10/29/2020,39,-8.93,125.41,80.38,4
228,Hithadhoo,88,MV,10/29/2020,78,5.35,48.53,80.49,8.21
229,Caconda,93,AO,10/29/2020,76,25.52,90.22,79.66,2.77
230,Hobart,98,AU,10/29/2020,96,61.92,63.02,30.63,8.84
231,East London,100,ZA,10/29/2020,97,60.12,64.78,31.32,9.75
232,Busselton,97,AU,10/29/2020,96,73.51,80.55,14.59,27.04
233,Bundaberg,100,AU,10/29/2020,75,11.14,123.72,82.94,11.07
234,Te Anau,21,NZ,10/29/2020,84,64.57,143.2,-0.8,2.64
235,Busselton,100,AU,10/29/2020,90,50.32,29.06,40.96,6.24
236,Albany,0,AU,10/29/2020,50,22.5,82.55,73.6,7.31
237,Mount Isa,73,AU,10/29/2020,94,56.85,124.91,18.07,2.17
238,Hermanus,90,ZA,10/29/2020,93,59.7,30.79,45,4.47
239,Luderitz,97,NA,10/29/2020,96,73.51,80.55,14.59,27.04
240,Morondava,0,MG,10/29/2020,49,16.15,36.2,78.85,7.36
241,Bukama,100,CD,10/29/2020,98,66.56,67.8,34.39,13.58
242,Hermanus,97,ZA,10/29/2020,68,35.3,37.18,59.9,3.09
243,Luderitz,100,NA,10/29/2020,96,57.26,103.75,21.74,5.53
244,Portland,95,AU,10/29/2020,94,61.33,40.09,37.35,8.63
245,Bluff,45,NZ,10/29/2020,63,22.29,114.16,75.99,3
246,Hithadhoo,95,MV,10/29/2020,77,3.3,117.63,82.76,11.25
247,Karratha,90,AU,10/29/2020,84,66.42,112.4,1.4,2.24
248,Kavieng,63,PG,10/29/2020,76,3.07,172.79,82.58,19.42
249,Busselton,0,AU,10/29/2020,95,65.2,31.17,28.76,3.06
250,Cape Town,65,ZA,10/29/2020,93,58.1,27.46,46.4,4.7
251,Banjar,20,ID,10/29/2020,65,24.8,125.28,78.8,16.11
252,Albany,0,AU,10/29/2020,55,42.8,93.45,42.89,6.15
253,Bredasdorp,73,ZA,10/29/2020,60,18.42,84.05,78.39,6.2
254,Carnarvon,63,AU,10/29/2020,76,3.07,172.79,82.58,19.42
255,Henties Bay,40,NA,10/29/2020,61,24.34,124.16,80.6,17.22
256,Hermanus,100,ZA,10/29/2020,95,69.3,139.9,2.28,2.28
257,Nikolskoye,91,RU,10/29/2020,78,-21.21,-159.78,75.2,12.75
258,Muroto,75,JP,10/29/2020,76,-54.8,-68.3,48.2,16.11
259,Belushya Guba,61,RU,10/29/2020,75,-9.8,-139.03,77.83,11.77
260,Sabang,0,ID,10/29/2020,63,-23.12,-134.97,76.15,0.98
261,Butaritari,76,KI,10/29/2020,69,-30.18,-50.21,63.23,9.71
262,Ornskoldsvik,75,SE,10/29/2020,76,-54.8,-68.3,48.2,16.11
263,Fevralsk,84,RU,10/29/2020,92,-0.74,-90.35,70,5.99
264,Sangar,0,RU,10/29/2020,63,-23.12,-134.97,76.15,0.98
265,Sentyabrskiy,90,RU,10/29/2020,86,42.1,-79.24,35.01,9.17
266,Terrak,0,NO,10/29/2020,63,-23.12,-134.97,76.15,0.98
267,Raipur,99,IN,10/29/2020,88,-5.09,-81.11,62.74,10.25
268,Soloneshnoye,75,RU,10/29/2020,76,-54.8,-68.3,48.2,16.11
269,Chumikan,90,RU,10/29/2020,86,42.1,-79.24,35.01,9.17
270,Nikolskoye,90,RU,10/29/2020,82,-13.7,-76.22,64.4,2.24
271,Butaritari,91,KI,10/29/2020,78,-21.21,-159.78,75.2,12.75
272,Sentyabrskiy,90,RU,10/29/2020,86,42.1,-79.24,35.01,9.17
273,Talnakh,100,RU,10/29/2020,89,-46.19,168.86,54,13
274,Phimai,20,TH,10/29/2020,61,39.95,-75.16,43,9.17
275,Belushya Guba,0,RU,10/29/2020,63,-23.12,-134.97,76.15,0.98
276,Surman,100,LY,10/29/2020,93,-24.79,-50.01,51.76,10
277,Baruun-Urt,40,MN,10/29/2020,74,-21.2,-175.2,78.8,9.17
278,Bentiu,0,SD,10/29/2020,63,-23.12,-134.97,76.15,0.98
279,Sneek,0,NL,10/29/2020,63,-23.12,-134.97,76.15,0.98
280,Shakhtinsk,51,KZ,10/29/2020,86,-17.71,-39.25,75.27,7.05
281,Yerofey Pavlovich,39,RU,10/29/2020,87,-19.33,-45.24,70.93,7.63
282,Longyearbyen,100,SJ,10/29/2020,89,-46.19,168.86,54,13
283,Tonstad,90,NO,10/29/2020,86,42.1,-79.24,35.01,9.17
284,Yumen,0,CN,10/29/2020,63,-23.12,-134.97,76.15,0.98
285,Khor,40,QA,10/29/2020,88,-7.26,-34.91,77,5.82
286,Yar-Sale,90,RU,10/29/2020,78,-19.06,-169.92,77,16.11
287,Kurilsk,40,RU,10/29/2020,74,-21.2,-175.2,78.8,9.17
288,Tabat,0,SD,10/29/2020,60,-28.57,-70.76,56.46,0.56
289,Ola,100,RU,10/29/2020,89,-46.19,168.86,54,13
290,Bumba,64,CD,10/29/2020,90,-34.48,-54.33,44.44,1.19
291,Bandarbeyla,51,SO,10/29/2020,80,-3.53,-40.66,72.45,2.13
292,Chokurdakh,75,RU,10/29/2020,76,-53.15,-70.92,48.2,6.93
293,Zhezkazgan,36,KZ,10/29/2020,89,-2.6,-43.46,75.24,4.56
294,Mehamn,0,NO,10/29/2020,63,-23.12,-134.97,76.15,0.98
295,Narasannapeta,100,IN,10/29/2020,81,-22.97,-42.03,71.29,26.82
296,Kavieng,0,PG,10/29/2020,81,-38,-57.56,53.01,6.93
297,Nyrob,100,RU,10/29/2020,89,-46.19,168.86,54,13
298,Cagmanaba,84,PH,10/29/2020,92,-0.74,-90.35,70,5.99
299,Hangzhou,75,CN,10/29/2020,76,-53.15,-70.92,48.2,6.93
300,Borujan,100,IR,10/29/2020,89,-46.19,168.86,54,13
301,Nevel,0,RU,10/29/2020,35,-43.3,-65.1,61.45,11.88
302,Kungurtug,61,RU,10/29/2020,75,-9.8,-139.03,77.83,11.77
303,Berlevag,0,NO,10/29/2020,63,-23.12,-134.97,76.15,0.98
304,Urulga,100,RU,10/29/2020,81,-22.97,-42.03,71.29,26.82
305,Salalah,0,OM,10/29/2020,63,-23.12,-134.97,76.15,0.98
306,Butaritari,75,KI,10/29/2020,76,-53.15,-70.92,48.2,6.93
307,Ust-Bolsheretsk,75,RU,10/29/2020,76,-54.8,-68.3,48.2,16.11
308,Sabzevar,75,IR,10/29/2020,76,-54.8,-68.3,48.2,16.11
309,Khatanga,100,RU,10/29/2020,89,-46.19,168.86,54,13
310,Amderma,0,RU,10/29/2020,76,-41.87,-73.82,51.8,8.05
311,Palma,75,ES,10/29/2020,76,-54.8,-68.3,48.2,16.11
312,Petropavlovsk-Kamchatskiy,84,RU,10/29/2020,92,-0.74,-90.35,70,5.99
313,Cherskiy,75,RU,10/29/2020,94,-9.67,-35.74,75.2,2.24
314,Pevek,36,RU,10/29/2020,58,-0.32,102.35,90.79,1.95
315,Belushya Guba,61,RU,10/29/2020,75,-9.8,-139.03,77.83,11.77
316,Malinovskiy,40,RU,10/29/2020,74,-21.2,-175.2,78.8,9.17
317,Loreto,100,PH,10/29/2020,81,-22.97,-42.03,71.29,26.82
318,Tateyama,0,JP,10/29/2020,63,-23.12,-134.97,76.15,0.98
319,Seymchan,0,RU,10/29/2020,66,-33.93,18.42,55.99,19.46
320,Hvide Sande,0,DK,10/29/2020,66,-33.93,18.42,55.99,19.46
321,Pevek,40,RU,10/29/2020,74,-21.2,-175.2,78.8,9.17
322,Obo,100,CF,10/29/2020,93,-24.79,-50.01,51.76,10
323,Dikson,0,RU,10/29/2020,63,-23.12,-134.97,76.15,0.98
324,Saskylakh,99,RU,10/29/2020,89,-7.96,-79.24,61.88,13.06
325,Longyearbyen,75,SJ,10/29/2020,76,-53.15,-70.92,48.2,6.93
326,Sentyabrskiy,100,RU,10/29/2020,96,-21.64,-41.05,72.55,1.19
327,Nizhniy Kuranakh,75,RU,10/29/2020,76,-53.15,-70.92,48.2,6.93
328,Dalinghe,75,CN,10/29/2020,76,-53.15,-70.92,48.2,6.93
329,Belushya Guba,0,RU,10/29/2020,63,-23.12,-134.97,76.15,0.98
330,Visby,0,SE,10/29/2020,66,-33.93,18.42,55.99,19.46
331,Demyansk,0,RU,10/29/2020,46,-42.77,-65.04,60.31,13
332,Belushya Guba,91,RU,10/29/2020,78,-21.21,-159.78,75.2,12.75
333,Hefei,20,CN,10/29/2020,74,5.41,100.34,87.8,5.82
334,Jining,0,CN,10/29/2020,35,-43.3,-65.1,61.45,11.88
335,Lumphat,100,KH,10/29/2020,93,-24.79,-50.01,51.76,10
336,Okha,0,RU,10/29/2020,81,-38,-57.56,53.01,6.93
337,Pevek,91,RU,10/29/2020,78,-21.21,-159.78,75.2,12.75
338,Warqla,40,DZ,10/29/2020,88,-5.2,-35.46,75.2,3.36
339,Baiyin,61,CN,10/29/2020,75,-9.8,-139.03,77.83,11.77
340,Saskylakh,21,RU,10/29/2020,72,-29.14,-59.26,54.16,5.21
341,Severo-Kurilsk,100,RU,10/29/2020,89,-46.19,168.86,54,13
342,Qingdao,100,CN,10/29/2020,89,-46.19,168.86,54,13
343,Butaritari,0,KI,10/29/2020,63,-23.12,-134.97,76.15,0.98
344,Airai,100,PW,10/29/2020,89,-46.19,168.86,54,13
345,Tiksi,90,RU,10/29/2020,86,42.1,-79.24,35.01,9.17
346,Urumqi,75,CN,10/29/2020,76,-53.15,-70.92,48.2,6.93
347,Tortoli,75,IT,10/29/2020,76,-54.8,-68.3,48.2,16.11
348,Tiksi,0,RU,10/29/2020,36,-33.08,-68.47,60.8,11.48
349,Hasaki,1,JP,10/29/2020,58,38.42,-121.42,64.99,2.3
350,Zachagansk,0,KZ,10/29/2020,63,-23.12,-134.97,76.15,0.98
351,Taraz,100,KZ,10/29/2020,89,-46.19,168.86,54,13
352,Barentsburg,0,SJ,10/29/2020,63,-23.12,-134.97,76.15,0.98
353,Nikolskoye,0,RU,10/29/2020,63,-23.12,-134.97,76.15,0.98
354,Birjand,100,IR,10/29/2020,89,-46.19,168.86,54,13
355,Deputatskiy,100,RU,10/29/2020,93,-24.79,-50.01,51.76,10
356,Leningradskiy,75,RU,10/29/2020,76,-54.8,-68.3,48.2,16.11
357,Verkhnyaya Inta,90,RU,10/29/2020,86,42.1,-79.24,35.01,9.17
